date,country_code,cases,deaths,recovered,retail,grocery,parks,transit,work,residential,s1_school,s2_workplace,s3_events,s4_transport,s5_info,s6_movement,s7_travel,s8_fiscal,s9_monetary,s10_investment,stringency
2020-04-06,PAN,1988,54,13,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,90.48
2020-04-07,PAN,2100,55,14,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,90.48
2020-04-08,PAN,2249,59,16,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,90.48
2020-04-09,PAN,2528,63,16,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,90.48
2020-04-10,PAN,2752,66,16,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,90.48
2020-01-22,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2020-01-23,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2020-01-24,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2020-01-25,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2020-01-26,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2020-01-27,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,14.29
2020-01-28,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,19.05
2020-01-29,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-01-30,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-01-31,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-01,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-02,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-03,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-04,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-05,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-06,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-07,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-08,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-09,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-10,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-11,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-12,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-13,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-14,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-15,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-16,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-17,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-18,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-19,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-20,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-21,PNG,0,0,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-22,PNG,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-23,PNG,0,0,0,11.50704249981875,8.62499968,-6.50000000000001,-6.148342438835622,10.080001612800258,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-24,PNG,0,0,0,-1.2906686965899103,-0.294478079999999,-4.41719580366183,-2.063679050596316,8.20672604907617,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-25,PNG,0,0,0,3.233568397198885,5.197451520000004,-9.715020383715636,-2.58971579342304,9.450001512000242,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-26,PNG,0,0,0,6.230091997888512,7.859647999999997,-4.923900365230965,0.0,13.10225355236057,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-27,PNG,0,0,0,6.1610581824484125,5.64706048,-8.465725905218449,4.952829721431158,12.775000252000037,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-28,PNG,0,0,0,9.977865468309634,10.637836799999995,-6.875561457076194,0.7561544569665576,18.01911571505851,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-02-29,PNG,0,0,0,11.278053890384147,13.794721280000005,-6.50000000000001,-0.7924501139197997,16.636893477902955,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-01,PNG,0,0,0,14.71830404274166,18.0,-5.281256204116811,-6.148342438835622,15.840000806400129,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-02,PNG,0,0,0,0.4302211053113318,3.239262719999997,-9.815991820730398,-3.439466845333318,15.164601722336272,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-03,PNG,0,0,0,3.233568397198885,6.420381440000001,-7.864536995625768,-2.58971579342304,14.175002268000362,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-04,PNG,0,0,0,-0.2009715340646487,2.526312959999996,-11.638315931229872,-3.8845730297572656,13.975738108118092,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-05,PNG,0,0,0,1.1551999225185585,1.3445363199999976,-5.792341355588987,-1.8573111455366842,15.22500243600039,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-06,PNG,0,0,0,3.51073001907584,4.6702681599999964,-8.594444086342463,-3.0246297146575696,17.305489232878276,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-07,PNG,0,0,0,7.997163969542084,8.164224000000004,-7.718754109220229,-6.339626005695664,14.679612524738,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-08,PNG,0,0,0,8.830984039841775,13.87500032,-4.875002256042472,-6.831493506462871,15.840000806400129,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-09,PNG,0,0,0,-1.9360030448848606,0.294478079999999,-3.435596879422217,-0.6878912558593137,12.66690365870459,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-10,PNG,0,0,0,1.9401394241225556,7.031845119999998,-7.864536995625768,-5.17943158684608,14.175002268000362,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-11,PNG,0,0,0,7.435917166784475,12.35087872,-9.40017354172885,3.237144411590148,17.819066659050662,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-12,PNG,0,0,0,7.508788735058767,11.563027199999997,-4.010083270279837,-1.2382074303577895,17.850002856000454,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-13,PNG,0,0,0,7.7605603868181845,12.713515520000001,-6.0161098291060195,0.0,19.089562158329947,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-14,PNG,0,0,0,11.278053890384147,19.143696639999998,-2.843751853177748,-7.924527554289853,19.572818939651032,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-15,PNG,0,0,0,11.50704249981875,13.5,-5.281256204116811,-7.5146326872988,19.200001344000214,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-16,PNG,0,0,0,-0.8604475912785785,6.478525440000003,-7.361999022216313,-2.063679050596316,16.413456130152976,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-17,PNG,0,0,0,3.017997798462154,11.923564800000005,-7.864536995625768,-6.474288823180296,16.275002604000417,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-18,PNG,0,0,0,0.0,6.736840959999999,-8.504920453429836,-12.9485789671152,15.198614335778288,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-19,PNG,0,0,0,-7.508788735058757,1.882353919999996,-7.129033630403727,-9.905659442862316,11.900003696000592,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-20,PNG,1,0,0,-6.836688313895003,5.189189120000001,-10.31333702894577,-9.073890464727317,13.380534172885469,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-21,PNG,1,0,0,-4.716274048700032,9.008798720000005,-10.562500805729458,-17.433956657173894,13.374761691961872,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-22,PNG,1,0,0,-5.619717116262941,12.37500032,-13.406257815575724,4.098891877463034,14.400004032000643,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,28.57
2020-03-23,PNG,1,0,0,-3.6568982274420274,25.325152,-6.871193758844434,-39.89779850020769,10.169205595072896,,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,42.86
2020-03-24,PNG,1,0,0,-27.161964044191603,-10.700634879999997,-12.028118817575908,-43.377727983233214,-18.900003024000483,,2.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,5.0,0.0,95.24
2020-03-25,PNG,1,0,0,-21.50386267376686,-13.473681919999999,-10.295436943364905,-39.49315363272135,-16.770882235341166,,2.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,5.0,0.0,95.24
