date,country_code,cases,deaths,recovered,c1_school_closing,c2_workplace_closing,c3_cancel_public_events,c4_restrictions_on_gatherings,c6_stay_at_home_requirements,c7_restrictions_on_internal_movement,c8_international_travel_controls,e1_income_support,e2_debt/contract_relief,e3_fiscal_measures,e4_international_support,h1_public_information_campaigns,h2_testing_policy,h3_contact_tracing,h4_emergency_investment_in_healthcare,h5_investment_in_vaccines,stringencyindexfordisplay,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-27,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,9.0,11.0,8.0,4.0,-9.0,2.0
2020-02-28,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,100000000.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,2.0,5.0,-2.0,1.0,-8.0,3.0
2020-02-29,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,1.0,2.0,-8.0,3.0,0.0,1.0
2020-03-01,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4000000000.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,2.0,4.0,-6.0,3.0,3.0,0.0
2020-03-02,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,1.0,6.0,-5.0,2.0,2.0,0.0
2020-03-03,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,0.0,7.0,-5.0,1.0,3.0,0.0
2020-03-04,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,1.0,6.0,-5.0,2.0,3.0,0.0
2020-03-05,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,0.0,5.0,-6.0,0.0,2.0,0.0
2020-03-06,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,-2.0,4.0,-5.0,1.0,2.0,0.0
2020-03-07,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,-1.0,3.0,0.0,3.0,3.0,0.0
2020-03-08,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8500000000.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,-3.0,2.0,-9.0,-2.0,1.0,1.0
